Código DANE,País/ET/Municipios,Departamento,Establecimientos educativos,Sector,Calendario,Matriculados,Publicados,PUESTO SABER11,Promedio Puntaje Global SABER 11,Desviación General,FORMULA 1,FORMULA 2,FORMULA 3,TOTAL
425799000483,TENJO,CUNDINAMARCA,FUND PARA LA ACTUALIZACION DE LA EDUCACION,#N/A,A,11,11,244,327,27,#N/A,#N/A,0.923728814,#N/A
123001002176,MONTERÍA,CORDOBA,INSTITUCION EDUCATIVA ANTONIO NARIÑO,Oficial,A,88,88,321,322,35,0.67575,0.587599262,0.901960784,0.721770015
352356000173,IPIALES,NARIÑO,INSTITUCION EDUCATIVA NACIONAL SEMINARIO,Oficial,A,56,56,373,319,40,0.6735,0.7380325,0.888579387,0.766703962
311001107629,BOGOTÁ D.C.,BOGOTÁ D.C.,INST SAN PABLO APOSTOL,Privado,A,57,57,405,317,29,0.6945,#N/A,0.916184971,#N/A
168081000831,BARRANCABERMEJA,SANTANDER,INSTITUCION EDUCATIVA ESCUELA NORMAL SUPERIOR CRISTO REY,Oficial,A,88,88,414,317,39,0.669,0.734762764,0.890449438,0.764737401
317001000075,MANIZALES,CALDAS,INSTITUCIÓN EDUCATIVA COLEGIO DE CRISTO,Oficial,A,63,63,438,315,28,0.66625,0.775569677,0.918367347,0.786729008
154001000087,CÚCUTA,NORTE DE SANTANDER,ESC NORMAL SUPERIOR MARIA AUXILIADORA,Oficial,A,94,94,513,312,33,0.7025,0.782870881,0.904347826,0.796572902
311001032165,BOGOTÁ D.C.,BOGOTÁ D.C.,GIMNASIO CAMPESTRE STEPHEN HAWKING,Privado,A,10,10,548,311,34,0.74125,#N/A,0.901449275,#N/A
154001000095,CÚCUTA,NORTE DE SANTANDER,INST TEC MERCEDES ABREGO,Oficial,A,222,222,558,311,37,0.688,0.755416568,0.893678161,0.779031576
217433000802,MANZANARES,CALDAS,INSTITUCION EDUCATIVA GREGORIO GUTIERREZ GONZALEZ,Oficial,A,4,4,586,310,45,0.6785,0.67122186,0.873239437,0.740987099
163001002941,ARMENIA,QUINDIO,CASD HERMOGENES MAZA,Oficial,A,261,261,612,309,44,0.65375,0.732754723,0.875354108,0.753952944
105615000627,RIONEGRO,ANTIOQUIA,I. E. TECNICO INDUSTRIAL SANTIAGO DE ARMA,Oficial,A,164,164,633,308,39,0.658,0.637702322,0.887608069,0.72777013
250001003212,VILLAVICENCIO,META,INSTITUCION EDUCATIVA UNIDAD EDUCATIVA AP¿AY,Oficial,A,18,18,650,307,30,0.62475,0.703202057,0.910979228,0.746310428
