ranking,dane_code,city,department,school,sector,calendar,Matriculados,Publicados,puesto_saber_11,promedio_puntaje_global_saber_11,desviacion_general,isce_media,isce_secundaria,isce_primaria,saber_9_general,saber_5_general,saber_3_general,formula_1,formula_2,formula_3,total
1,311001065489,BOGOTÁ D.C.,BOGOTÁ D.C.,LIC CAMPO DAVID,Privado,A,25,25,5,386,20,9.609.670.639,9.006.509.781,8.959.478.378,481,445,434,87.30,91.92,95.07,91.43
2,311001105430,BOGOTÁ D.C.,BOGOTÁ D.C.,COL LA COLINA                                                                                       ,Privado,B,22,22,21,372,28,8.482.491.493,9.367.835.999,9.323.954.582,479.5,480,455.5,89.35,90.58,93.00,90.98
3,315001001842,TUNJA,BOYACA,COLEGIO LOS ÁNGELES,Privado,A,47,46,34,365,23,9.442.520.142,9.443.507.195,89.174.757,465.5,434.5,424,84.45,92.68,93.95,90.36
4,376001013441,CALI,VALLE,COLEGIO BILINGUE DIANA OESE,Privado,B,48,48,4,389,28,9.794.955.254,8.785.610.199,8.500.076.294,471,442,438,87.00,90.27,93.29,90.18
5,408433075713,MALAMBO,ATLANTICO,CENTRO EDUCATIVO OASIS DE FE,Privado,A,3,3,3646,260,10,0,0,0,441.5,483.5,496,84.05,0.00,96.30,90.17
6,311769003342,BOGOTÁ D.C.,BOGOTÁ D.C.,COL LOS NOGALES,Privado,B,60,59,19,372,23,974.009.037,8.356.338.501,8.074.432.373,468,461.5,460,88.08,87.24,94.08,89.80
7,425377076576,LA CALERA,CUNDINAMARCA,COL DE  CAMBRIDGE,Privado,A,51,51,189,342,30,913.007.164,9.459.846.497,9.285.360.336,450,446,450,84.40,92.92,91.94,89.75
8,311848002424,BOGOTÁ D.C.,BOGOTÁ D.C.,COL SAN CARLOS                                                                                      ,Privado,B,101,97,12,376,26,966.784.668,8.356.513.977,8.364.676.476,467,462.5,443.5,87.45,87.96,93.28,89.56
9,425758800009,SOPÓ,CUNDINAMARCA,COL CAMPOALEGRE LTDA,Privado,B,23,23,29,366,26,0,0,0,449.5,439.5,454.5,85.48,0.00,93.37,89.42
10,311001076634,BOGOTÁ D.C.,BOGOTÁ D.C.,COL NUEVO COLOMBO AMERICANO,Privado,A,64,64,10,378,26,9.485.933.304,8.511.089.325,8.486.614.227,462,446,439.5,86.28,88.28,93.56,89.37
11,368001000516,FLORIDABLANCA,SANTANDER,COL NUEVO CAMBRIDGE,Privado,B,47,47,3,400,29,870.405.674,8.913.977.623,8.380.209.923,470.5,443,436,87.48,86.66,93.24,89.13
12,311001086320,BOGOTÁ D.C.,BOGOTÁ D.C.,GIMNASIO COLOMBO BRITANICO - BILINGÜE INTERNACIONAL,Privado,A,67,67,11,376,25,9.445.204.735,8.344.333.649,82.208.395,470,443.5,420.5,85.50,86.70,93.77,88.66
13,311769000165,BOGOTÁ D.C.,BOGOTÁ D.C.,COL SAN JORGE DE INGLATERRA,Privado,B,78,77,7,383,25,8.640.644.073,8.404.416.084,8.443.443.298,463.5,455,439.5,87.05,84.96,93.79,88.60
14,368276000826,FLORIDABLANCA,SANTANDER,COL LA QUINTA DEL PUENTE,Privado,B,19,19,2,401,32,8.594.468.117,8.882.110.596,8.421.165.466,476,432.5,426,86.78,86.33,92.61,88.57
15,311848000308,BOGOTÁ D.C.,BOGOTÁ D.C.,COL ANGLO AMERICANO,Privado,A,179,179,16,374,24,9.351.020.813,8.360.405.922,8.097.045.898,460.5,440.5,431.5,85.33,86.03,93.97,88.44
16,311769001781,BOGOTÁ D.C.,BOGOTÁ D.C.,COL ABRAHAM LINCOLN,Privado,B,70,70,27,368,26,8.322.638.512,847.458.744,8.738.583.565,464.5,454.5,443.5,86.53,85.12,93.40,88.35
17,305001015503,ENVIGADO,ANTIOQUIA,COLEGIO LEONARDO DA VINCI,Privado,B,6,6,24,370,19,8.745.437.622,0,0,0,459.5,404.5,82.27,87.45,95.12,88.28
18,425175032666,CHÍA,CUNDINAMARCA,GIMNASIO EL HONTANAR,Privado,A,46,46,41,363,28,9.322.766.304,8.514.530.182,8.218.570.709,461,452.5,426,85.13,86.85,92.84,88.27
19,373001007662,IBAGUÉ,TOLIMA,COL  SAN BONIFACIO DE LAS LANZAS,Privado,A,47,47,33,365,22,939.997.673,8.281.699.181,8.211.378.098,450,421.5,434.5,83.55,86.31,94.32,88.06
20,311769003938,BOGOTÁ D.C.,BOGOTÁ D.C.,COL BILING BUCKINGHAM,Privado,B,41,41,44,361,22,8.442.985.535,8.109.025.955,8.689.127.922,462,452,439,85.70,84.14,94.26,88.03
21,311001089221,BOGOTÁ D.C.,BOGOTÁ D.C.,INST ALBERTO MERANI,Privado,A,30,30,9,380,18,9.406.621.933,8.373.463.631,8.046.181.679,450.5,423.5,394.5,82.43,86.09,95.48,88.00
22,311848002351,BOGOTÁ D.C.,BOGOTÁ D.C.,COL SANTA FRANCISCA ROMANA,Privado,B,60,60,37,364,21,8.613.855.362,8.302.979.469,8.302.146.912,457.5,448,438,85.38,84.06,94.55,87.99
23,354518001139,PAMPLONA,NORTE DE SANTANDER,CAMBRIDGE SCHOOL (GIMN BILING PLAZA SESAMO),Privado,A,20,20,6,386,24,928.676.033,8.382.689.476,8.754.951.477,453.5,402.5,390,81.60,88.08,94.15,87.94
24,425377800011,LA CALERA,CUNDINAMARCA,COLEGIO HACIENDA LOS ALCAPARROS,Privado,B,32,32,133,346,27,0,0,0,441,432.5,439,82.93,0.00,92.76,87.84
25,311001031088,BOGOTÁ D.C.,BOGOTÁ D.C.,COL NUEVA INGLATERRA,Privado,A,61,60,65,357,27,9.474.674.225,8.512.566.566,8.284.426.689,470,424,403,82.70,87.57,92.85,87.71
26,311848000278,BOGOTÁ D.C.,BOGOTÁ D.C.,GIMN VERMONT                                                                                        ,Privado,B,90,89,20,372,24,8.595.446.587,8.476.277.351,803.055.191,459,439.5,440,85.53,83.67,93.87,87.69
27,311848000341,BOGOTÁ D.C.,BOGOTÁ D.C.,GIMN CAMPESTRE                                                                                      ,Privado,B,61,61,42,362,25,8.340.682.983,8.568.225.861,8.520.492.554,449.5,447,436.5,84.75,84.76,93.54,87.68
28,311001046077,BOGOTÁ D.C.,BOGOTÁ D.C.,COLEGIO INTERNACIONAL CAMINO A LA CIMA,Privado,A,9,9,366,328,32,0,0,9.031.168.938,409.5,442,452.5,81.60,90.31,91.11,87.67
29,311001105375,BOGOTÁ D.C.,BOGOTÁ D.C.,COL  MONTESSORI BRITISH SCHOOL,Privado,B,50,50,25,369,22,8.482.172.012,8.293.253.899,8.506.099.701,453.5,426.5,429.5,83.93,84.27,94.37,87.52
30,311001107289,BOGOTÁ D.C.,BOGOTÁ D.C.,GIMN ALESSANDRO VOLTA,Privado,B,14,14,8,382,22,8.419.969.559,8.468.832.016,8.183.954.239,451,427.5,424.5,84.25,83.58,94.55,87.46
31,363001002916,CIRCASIA,QUINDIO,LICEO ANGLO COLOMBIANO,Privado,B,5,5,184,342,20,0,0,0,471.5,387,407.5,80.40,0.00,94.48,87.44
32,341001005652,NEIVA,HUILA,COL EMPRESARIAL DE LOS ANDES,Privado,A,15,14,252,336,28,9.008.253.098,870.222.187,0,425,411.5,458.5,81.55,88.55,91.79,87.30
33,311001094403,BOGOTÁ D.C.,BOGOTÁ D.C.,COL REUVEN FEUERSTEIN,Privado,A,17,17,60,358,30,9.280.715.942,8.176.729.202,8.266.741.753,451.5,429.5,437.5,83.83,85.75,92.27,87.28
